"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,Expected Result 
Routing onDemand screen ,Functional,Critical,15M,None,Final,Megh Thapa,Verification of OnDemand UI matches with production  ,Log in to EOR ,Click Routing on Demand from the Menu ,1,new Routing on demand window should open 
,,,,,,,,,Double click on the first Row ,,new screen should open 
 ,,,,,,,,,"Match with Current EOR 
",,Data should be same on both 
Routing onDemand New-Blank button,Functional,Critical,15M,None,Final,Megh Thapa,Verification of OnDemand UI matches with production  ,Log in to EOR ,Click Routing on Demand from the Menu ,1,new Routing on demand window should open 
,,,,,,,,,Click New-Blank button from right corner  ,,new screen should open and all the field should be empty or unselected except date and time
 ,,,,,,,,,"Match with Current EOR 
",,Data should be same on both 
Routing onDemand New-Blank (New rule),Functional,Critical,15M,None,Final,Megh Thapa,Verification of OnDemand UI matches with production  ,Log in to EOR ,Click Routing on Demand from the Menu ,1,new Routing on demand window should open 
,,,,,,,,,Click New-Blank button from right corner  ,,new screen should open and all the field should be empty or unselected except date and time
 ,,,,,,,,,Select Richland Hills form the Manufacturing Facility dropdown ,,All the Facility is displayed 
,,,,,,,,,Enter 20 on the Total Job Routing count ,,Should be able to enter number 
,,,,,,,,,Type : This is a Test on Notes,,Notes option are enabled 
,,,,,,,,,In a General Tab check All Jobs ,,radio button is selected 
,,,,,,,,,Click SAVE ,,Record is saved 
Routing onDemand New-Blank (New rule),Functional,Critical,15M,None,Final,Megh Thapa,Verification of OnDemand UI matches with production  ,Log in to EOR ,Click Routing on Demand from the Menu ,1,new Routing on demand window should open 
,,,,,,,,,Click New-Blank button from right corner  ,,new screen should open and all the field should be empty or unselected except date and time
 ,,,,,,,,,Select Richland Hills form the Manufacturing Facility dropdown ,,All the Facility is displayed 
,,,,,,,,,Enter 20 on the Total Job Routing count ,,Should be able to enter number 
,,,,,,,,,Type : This is a Test on Notes,,Notes option are enabled 
,,,,,,,,,In a General Tab check All Jobs ,,radio button is selected 
,,,,,,,,,Click SAVE ,,Record is saved and displayed on ROD main screen
Routing onDemand New-Copy ,Functional,Critical,15M,None,Final,Megh Thapa,Verification of OnDemand UI matches with production  ,Log in to EOR ,Click Routing on Demand from the Menu ,1,new Routing on demand window should open 
