"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,"Expected Result (Per step, Expected for whole test case list on last step)"
/api/application/RefState,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/RefState,1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section ",,Api-Key is accepted
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data and length ,,Return all  refState table Data
 /api/application/AvailableStores/1,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AvailableStores/{AccountType},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section  and  paste account type =1 ",,Api-Key is accepted
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data and length ,,Return all visionworks account 
 /api/application/AvailableStores/{2,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AvailableStores/{AccountType},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section  and  paste account type =2",,Api-Key is accepted
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data and length ,,Return all Empire Vision account 
 /api/application/AvailableStores/3,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AvailableStores/{AccountType},1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section  and  paste account type =3",,Api-Key is accepted
,,,,,,,,,"
Click send",,Status code should be 200
,,,,,,,,,Verify response JSON data and length ,,Return all Davis Vision account
 /api/application/AvailableStores/,Functional,Critical,15M,None,Final,Megh Thapa,"Validation of Application API Account setup endpoint displays, write and update Correct data  ",Log in to Postman,Select GET from the drop down and paste following API link into the address bar.http://txs-d-eorweb01.hvhcvision.com:8083/api/application/AvailableStores/,1,Should accept the API link
,,,,,,,,,"Provide api-key = ""237wRH/9jruc1pokfamU/Nk/IH6/fD6R8zwr12VM8ZY="" in header section  and paste accounttype =empty",,Api-Key is accepted
,,,,,,,,,"
Click send",,Status code should be 404 not found
,,,,,,,,,Verify response JSON data and length ,,Should return file or directory not found 
