"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,"Expected Result (Per step, Expected for whole test case list on last step)",Section
"Primary Lab has DNR for Combine 3 (Slab off, AR, UV), Is Not Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15M,None,Final,Megh Thapa,Primary Lab DNR - Offload Capacity,"Primary Lab: Richland Hills
Secondary Lab: Do Not Use","Set-up Primary Lab Facilty Rules: 
General Tab:
Facility Is Active is Checked
Accepts Union Job is unchecked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Service Coating Tab: 
Check Do Not Reroute for Service Add on Slab off , Combine 1: Coating AR, Combine 2: Coating UV
Is Active is unchecked",1,"Primary Lab has DNR for Combine 3 (Slab off, AR, UV), Is Not Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab has DNR for Combine 3 (Slab off, AR, UV), Is Not Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15M,None,Final,Megh Thapa,Primary Lab DNR - Offload Capacity,"Primary Lab: Richland Hills
Secondary Lab: Do Not Use
","Set-up Primary Lab Facilty Rules: 
General Tab:
Facility Is Active is unchecked
Accepts Union Job is unchecked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
Service Coating Tab: 
Check Do Not Reroute for Service Add on Slab off , Combine 1: Coating AR, Combine 2: Coating UV
Is Active is unchecked
",1,"Primary Lab has DNR for Combine 3 (Slab off, AR, UV), Is Not Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab has DNR Lens Code but not within the ranges, Primary Lab is Active, Does not accepts union jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15M,None,Final,Megh Thapa,Primary Lab DNR - Offload Capacity,"Primary Lab: Schertz
Secondary Lab: Do Not Use","Set-up Primary Lab Facilty Rules: 
General Tab:
Facility is Active: Is checked
Accept Union Jobs: unchecked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Lens Tab: 
For Lens Code: 104062  ADAPT POLY set:  
Sph 1 From: -1.00 
Sph 1 To:  +1 .00

Set-up Associated Lab Facility Rules:
Lens Tab:
For Lens Code: 104062  ADAPT POLY set:  
Sph 1 From: -2.00 
Sph 1 To:  +2 .00",TC135,"Primary Lab has DNR Lens Code but not within the ranges, Primary Lab is Active, Does not accepts union jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab has DNR Lens Code within the ranges, Primary Lab is Active, Does not accepts union jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15M,None,Final,Megh Thapa,Primary Lab DNR - Offload Capacity,"Primary Lab: Schertz
Secondary Lab: Do Not Use
","Set-up Primary Lab Facilty Rules:
General Tab:
Facility is Active is checked
Accepts Union Jobs is checked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity 
Lens Tab: 
For Lens Code: 104062  ADAPT POLY set:  
Sph 1 From: -1.00 
Sph 1 To:  +1 .00

Set-up Secondary Lab Facility Rules:
Lens Tab:
For Lens Code: 104062  ADAPT POLY set:  
Sph 1 From: -2.00 
Sph 1 To:  +2 .00",1,"Primary Lab has DNR Lens Code within the ranges, Primary Lab is Active, Accepts union jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab has DNR Lens Code (7X28 PGX), Primary Lab is Active, Does not accept Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15M,None,Final,Megh Thapa,Primary Lab DNR - Offload Capacity,"Primary Lab: Schertz
Secondary Lab: Do Not Use","Set-up Primary Lab Facilty Rules: 
General Tab:
Facility Is Active is unchecked
Union Jobs is unchecked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Lens Tab: 
Check Do Not Reroute for Lens Code: 205040",TC146,"Primary Lab has DNR for Combine 3 (Slab off, AR, UV), Is Not Active, Primary Lab is Active, Does not accepts Union Jobs, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Remake of TC76, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15M,None,Final,Megh Thapa,Remake - Offload Capacity,"Primary Lab: Schertz
Secondary Lab: Do Not Use
","Set-up Primary Lab Facilty Rules: 
General Tab: 
Facility Is Active is checked
Accepts Union Jobs is checked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Frame Tab:
Accept Safety Jobs is checked
Add iClass to the Do Not Reroute these Frames",TC159,"Remake of TC76, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set.
Primary Lab has DNR iClass, Primary Lab is Active, Accepts Union Jobs.",35846
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Other Info Tab,,"Under Remake Info Remake Reason: Doctor Change
Under Original Trans Data
Store Number
Transaction Number
Associate Name
Associate Number",
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Retransmittal of TC, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",Functional,Critical,15M,None,Final,Megh Thapa,Retransmittal - Offload Capacity,"Primary Lab: Schertz
Secondary Lab: Do Not Use","Set-up Primary Lab Facilty Rules: 
General Tab: 
Facility Is Active is checked
Accepts Union Jobs is checked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set ""20""
Job Block Count is equal to Job Offload Capacity
Frame Tab:
Accept Safety Jobs is checked
Add iClass to the Do Not Reroute these Frames",TC160,"Retransmittal of TC159, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set
Primary Lab has DNR iClass, Primary Lab is Active, Accepts Union Jobs",35860
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Other Info Tab,,"Under Remake Info Remake Reason: Doctor Change
Under Original Trans Data
Store Number
Transaction Number
Associate Name
Associate Number",
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab does accept Frame to Come and is Active, Secondary Lab does accept Frame to Come and is Active",Functional,Critical,15M,None,Final,Megh Thapa,Selected Lab - Primary Lab,"Primary Lab: Richland Hills
Secondary Lab: Schertz
","Set-up Primary Lab Facilty Rules: 
General Tab:
Facility is Active is checked
Frame Tab:
Accept Frame to Come is checked

Set-up Secondary Lab Facilty Rules: 
General Tab:
Facility is Active is checked
Frame Tab:
Accept Frame to Come is checked",TC170,"Account Type has DNR, Account Type is Active, Primary Lab has no active DNRs, Manufacturing Facilty is Active, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set",35845
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary Lab does accept Frame to Come, Primary Lab is Active, Secondary Lab is Null, Manufacturing Facility Offload Sequence 1 set
Sequence 1 lab does accept Frame to Come, Primary Lab is Active",Functional,Critical,15M,None,Final,Megh Thapa,Selected Lab - Primary Lab,"Primary Lab: Richland Hills
Secondary Lab: Do Not Use
","Set-up Primary Lab Facility Rules: 
General Tab:
Facility is Active is checked
Manufacturing Facility Offload Sequence Selection:
Schertz is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
Frame Tab:
Accept Frame to Come is checked

Set-up Associated Lab Facility Rules: 
General Tab:
Facility is Active is checked
Manufacturing Facility Offload Sequence Selection:
Richland Hills is selected as Sequence 1
Job Offload Capacity is set ""High Number""
Job Block Count is equal to Job Offload Capacity
Frame Tab:
Accept Frame to Come is checked",TC184,,35845
,,,,,,,,,Enter JSON workorder ,,,
,,,,,,,,,"Enter the EOR, Select Search Workorder",,,
,,,,,,,,,Select RX Number,,Validate all fields translate over to EOR accurately in the Frames & Lens Tab and Add On and Comment Tab.,
,,,,,,,,,Validate all fields of file.,,Under the Communication Tab Validate File Path: ,
,,,,,,,,,Validate Current WIP Count increments by 1 for the Manufacturing Facility job the was routed to.,,,
,,,,,,,,,Validate Current Receiving Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Received Job Offload Count increments by 1 for the Manufacturing Facility job was routed to.,,,
,,,,,,,,,Validate Current Sent Job Offload Count increments by 1 for Manufacturing Facility job was routed from.,,,
,,,,,,,,,Validate Current Sent Job Block Count increments by 1 for Manufacturing Facility job was routed from.,,,
"Primary lab does not accept Lens Code, Richland Hills is set as Sequence 2 for Associated Labs and does accept Lens Code",Functional,Critical,15M,None,Final,Megh Thapa,Account Rules - Primary Lab w/Associated Lab (Seq 2),"Primary Lab: Schertz
Secondary Lab: Do Not Use
Associate Labs:
Sequence 1 is Syracuse, Sequence 2 is Richland Hills, Sequence 3 is Test Location, Sequence 4 is Test Location 2 ","Set-up Primary Lab Facility Rules: 
Account Set Up
Do Not Reroute must be unchecked.
General Tab:
Manufacturing Facility Offload Sequence Selection:
Syracuse is selected as Sequence 1
Richland Hills is selected as Sequence 2
Test Location is selected as Sequence 3 
Test Location 2 is selected as Sequence 4
Frame Tab:
Supply Frame is checked
Lens Tab:
Deselect the Accept check box for Lens Code: 205040, Lens Description: 7X28 PGX

Set-up Associated Lab Facility Rules: 
Lens Tab:  Lens Code 205040, Lens Description: 7x28 PGX
Syracuse is unchecked
Richland Hills is checked
Frame Tab:
Supply Frame is checked
Test Location  is unchecked
Test Location 2  is unchecked
",TC258,"Primary lab does not accept Lens Code, Richland Hills is set as Sequence 2 for Associated Labs and does accept Lens Code",35851
,,,,,,,,,Enter JSON workorder ,,,
