officeNumber,name,address1,address2,city,stateCode,zip,countryCode,phone,secondPhone,thirdPhone,fax,secondFax,thirdFax,contact,contactType,activeDate,termDate,deletedDate,futureTerm,centralLabCode,shipAddress1,shipAddress2,shipCity,shipStateCode,shipZip,shipCountryCode,doesEyeExams,dispensesGlases,inMedicare,ownLab,ownFrames,groupMedicareId,groupMedicaidId,groupMedicaidSt,groupMedicaidId2,groupMedicaidSt2,groupNpiPrefix,groupNpiNumber,run_id,case_id
"""1""","""Test ""","""123 test st""",null,"""San Antonio ""","""TX""","""78229""","""US""","""1234567890""","""1234567890""","""1345677890""","""123456789""","""123456789""","""123456789""","""Tester""","""M""",null,"""01/01/2017""",null,null,"""R""","""1234 Address""","""1234 adress st""","""San Antonio""","""TX""","""78229""","""US""","""1""","""1""",null,"""0""","""0""",null,null,null,null,null,"""80840""","""1982678181""",2444,799309
"""2""","""Test 1""","""124 test St ""","""2600 Via Fortuna""","""Austin""","""TX""","""78746""","""US""","""5123274123""","""1234567891""","""1345677891""","""5123279156""",null,null,"""Test 1""","""S""",null,null,null,null,"""R""","""Ste 400""","""2600 Via Fortuna""",null,"""TX""","""78746""","""US""","""1""","""1""",null,"""0""","""0""",null,"""158554902""",null,null,null,"""80840""","""1982678182""",2444,799310
"""1000""","""Test 2""","""125 test st""",null,"""Independence""","""MO""","""64055""","""US""","""8164783699""","""1234567892""","""1345677892""","""8164783692""",null,null,"""Test 2""","""M""",null,null,null,null,"""R""","""4000 S Bolger Rd""",null,"""Independence""","""TX""","""64055""","""US""","""1""","""0""",null,"""1""","""1""",null,"""158554903""",null,null,null,null,null,2444,799311
"""1001""","""Test 3""","""126 test st""","""336 Mount Hope Ave""","""Bangor""","""ME""","""64055""","""US""","""2079474481""","""1234567893""","""1345677893""","""2079474482""",null,null,"""Test 3""","""M""",null,null,null,null,"""R""","""Ste 6""","""336 Mount Hope Ave""","""Bangor""","""ME""","""11368""","""US""","""1""","""1""",null,"""0""","""0""",null,"""158554904""",null,null,null,null,null,2444,799312
"""10012""","""Test 4""","""127 test st""","""Highway 16""","""Mt Hope""","""WV""","""64056""","""US""","""3042542000""","""1234567894""","""1345677894""","""2079474482""",null,null,"""Test 4""","""M""",null,null,null,null,"""0""","""Crossroads Mall""","""Highway 16""","""Mt Hope""","""WV""","""25880""","""US""","""1""","""1""",null,"""1""","""1""",null,"""158554905""",null,null,null,"""80840""","""1366508343""",2444,799313
"""10016""","""Test 5 ""","""128 test st""",null,"""Houston""","""TX""","""64057""","""US""","""7135272316""","""1234567895""","""1345677895""","""2079474482""",null,null,"""Test 5""","""M""",null,null,null,null,"""0""","""4201 S Main St""",null,"""Houston""","""TX""","""77002""","""US""","""10""","""1""",null,"""1""","""1""",null,"""158554906""",null,null,null,"""80841""","""1366508344""",2444,799314
"""10017""","""Test 6""","""129 test st""","""4314 Milan Rd""","""Sandusky""","""OH""","""64058""","""US""","""4196266415""","""1234567896""","""1345677896""","""2079474482""",null,null,"""Test 6""","""M""",null,null,null,null,"""0""","""Sandusky Mall""","""4314 Milan Rd""","""Sandusky""","""OH""","""44870""","""US""","""1""","""10""",null,"""1""","""1""",null,"""158554907""",null,null,null,"""80842""","""1366508345""",2444,799315
"""1002""","""Test 7 ""","""130 test st""",null,"""Yazoo City""","""MS""","""64059""","""US""","""6016054423""","""1234567897""","""1345677897""","""6016054437""",null,null,"""Test 7""","""D""",null,null,null,null,"""0""","""2129 Grand Ave""",null,"""Yazoo City""","""MS""","""39194""","""US""","""1""","""0""",null,"""0""","""1""",null,"""4324730""","""MS""",null,null,"""80843""","""1366508346""",2444,799316
"""10020""","""Test 8""","""131 test st""","""400 Cross Creek Rd""","""Fayetteville""","""NC""","""64060""","""US""","""9104877416""","""1234567898""","""1345677898""","""6016054437""",null,null,"""Test 8""","""D""",null,null,null,null,"""0""","""Cross Creek Mall""","""400 Cross Creek Rd""","""Fayetteville""","""NC""","""28304""","""US""","""1""","""1""",null,"""1""","""2""",null,"""4324731""",null,null,null,"""80844""","""1366508347""",2444,799317
"""10022""","""Test 9""","""132 test st""","""1200 W Oaks Mall""","""Houston""","""TX""","""64061""","""US""","""2814108408""","""1234567899""","""1345677899""","""6016054437""",null,null,"""Test 9""","""D""",null,null,null,null,"""0""","""West Oaks Mall""","""1200 W Oaks Mall""","""Houston""","""TX""","""77082-1731""","""US""","""1""","""1""",null,"""1""","""1""","""12345678""","""4324732""",null,null,null,"""80845""","""1366508348""",2444,799318
