"Title 
(Denotes new test case)","Type 
(Automated, Compatibility, Functional, Other, Performance, Functional)","Priority 
(Critical, High, Medium, Low)","Estimate
(1-59M in Min
1H + in Hours)",References (Link user stories or bugs),"Status
(Draft, Ready for Review, Final)","Owner
(FirstName LastName)","Objective
(Describe the Overall Objective this case is designed to achieve)","Preconditions
(List prerequisite conditions for this test case)",Steps (One step per row),Number,"Expected Result (Per step, Expected for whole test case list on last step)",,
Update Name,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,1.1,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update name.

Example ""name"": ""Test "",
is changed to ""name"": ""AutoTest1 "",",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,name should be updated to AutoTest1,,
Update Address1,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.2,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and  update Address1.

Example ""address1"": ""123 test st"",,
is changed to ""name"": ""123 AutoTest St "",",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,Address1 should be updated to 123 AutoTest St,,
Update Address2,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.3,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update Address2.

Example ""address2"": null,
is changed to ""name"": ""124 test st "",",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,Address1 should be updated to 124 test st,,
Update city,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.4,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update city.

Example ""city"": ""San Antonio "",,
is changed to ""name"": ""New York "",",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,City should be updated to New York,,
Update StateCode,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.4,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update StateCode.

Example ""stateCode"": ""TX"",,
is changed to ""stateCode"": "" NY"",",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,StateCode should be updated to NY ,,
Update zip,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.5,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update zip.

Example ""zip"": ""78229""
is changed to ""zip"": ""78201 "",",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,Zip should be updated to 78201,,
Update countryCode,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.6,Should accept the API link,,
,,,,,,,,,"Provide api-key = ""VGhpcyBpcyB0aGUgc2VjdXJlIERhdmlzIEtleQ=="" in header section",,,,
,,,,,,,,,"Click Body ,check raw section and update name.

Example ""countryCode"": ""US"",
is changed to ""countryCode"": ""NP"",",,Code should accept parameters without any error message,,
,,,,,,,,,Click send,,Status code should be 200,,
,,,,,,,,,Verify changes in Davis_Provider_Scrub and AccountInfo table,,CountryCode  should be updated to NP,,
Update Phone,Functional,Critical,15M,None,Final,Megh Thapa,To Verify Davis Providers API update and insert function,Log in to Postman,Select PUT from the drop down and paste following API link into the address bar.http://txs-q-eorweb01.hvhcvision.com:8083/api/davis/Providers,2.7,Should accept the API link,,
